StopID;DIVA;StopText;Municipality;MunicipalityID;Latitude;Longitude
2;60201421;Venediger Au;Wien;49000001;48.217909;16.3965357
3;60201892;Messe Prater;Wien;49000001;48.2179449;16.4066327
4;60201009;Perspektivstraße;Wien;49000001;48.2179689;16.4013057
5;60200195;Börse;Wien;49000001;48.2157841;16.3648611
7;60201848;Praterstern, Lassallestraße;Wien;49000001;48.219549;16.3937688
8;60201349;Hauptbahnhof S U;Wien;49000001;48.1859187;16.3749761
9;60200619;Julius-Raab-Platz;Wien;49000001;48.2103428;16.3825669
10;60200245;Stubentor U, Dr.-Karl-Lueger-Platz;Wien;49000001;48.2067269;16.3798899
11;60201460;Weihburggasse;Wien;49000001;48.2046076;16.3777519
12;60201193;Schwarzenbergplatz;Wien;49000001;48.2018176;16.3746168
13;60200975;Oper, Karlsplatz U;Wien;49000001;48.2023325;16.3700893
14;60200190;Burgring;Wien;49000001;48.2038113;16.3640885
15;60200246;Ring, Volkstheater U;Wien;49000001;48.2068287;16.3600371
16;60200994;Parlament;Wien;49000001;48.2082715;16.360109
17;60200192;Rathausplatz, Burgtheater;Wien;49000001;48.210253;16.3606929
18;60201184;Schottentor U;Wien;49000001;48.213725;16.3621481
19;60200195;Börse;Wien;49000001;48.2155567;16.3661277
20;60201182;Schottenring U;Wien;49000001;48.2165922;16.3712032
21;60201145;Salztorbrücke;Wien;49000001;48.21415;16.3737544
22;60201198;Schwedenplatz U;Wien;49000001;48.211576;16.3778597
23;60200619;Julius-Raab-Platz;Wien;49000001;48.2111869;16.3833394
26;;Praterstern S U;;;;
27;60201421;Venediger Au;Wien;49000001;48.2179809;16.3973082
28;60201009;Perspektivstraße;Wien;49000001;48.2178611;16.4007757
29;60201892;Messe Prater;Wien;49000001;48.2178671;16.4066327
30;60200274;Elderschplatz;Wien;49000001;48.2178971;16.4118429
31;60200196;Bösendorferstraße, Karlsplatz U;Wien;49000001;48.2012607;16.3705564
33;60200246;Ring, Volkstheater U;Wien;49000001;48.2067449;16.3596149
36;60201468;Westbahnhof S U;Wien;49000001;48.1964526;16.3392411
37;60201575;Schemmerlstraße;Wien;49000001;48.1574201;16.4233504
39;60201349;Hauptbahnhof S U;Wien;49000001;48.1860325;16.3753085
40;60200989;Karl-Popper-Straße;Wien;49000001;48.18741;16.3791173
41;60200619;Julius-Raab-Platz;Wien;49000001;48.2112707;16.3833484
42;60201198;Schwedenplatz U;Wien;49000001;48.2117137;16.3778237
43;60201145;Salztorbrücke;Wien;49000001;48.2138447;16.3742125
44;60201182;Schottenring U;Wien;49000001;48.2170292;16.3709067
45;60200195;Börse;Wien;49000001;48.2156465;16.3660199
46;60201184;Schottentor U;Wien;49000001;48.213731;16.3618068
47;60200192;Rathausplatz, Burgtheater;Wien;49000001;48.2106302;16.3605941
48;60200994;Parlament;Wien;49000001;48.20896;16.3600641
49;60200246;Ring, Volkstheater U;Wien;49000001;48.206709;16.3599113
50;60200190;Burgring;Wien;49000001;48.2040448;16.3634238
51;60200975;Oper, Karlsplatz U;Wien;49000001;48.2024343;16.3686879
52;60201193;Schwarzenbergplatz;Wien;49000001;48.2016858;16.3746886
53;60201460;Weihburggasse;Wien;49000001;48.2043202;16.3776082
54;60200245;Stubentor U, Dr.-Karl-Lueger-Platz;Wien;49000001;48.2068886;16.3803031
55;60200619;Julius-Raab-Platz;Wien;49000001;48.2106242;16.3827824
56;60200544;Hoher Markt;Wien;49000001;48.2113964;16.3718949
57;60200905;Hauptbahnhof Ost;Wien;49000001;48.1845112;16.3805995
58;60200905;Hauptbahnhof Ost;Wien;49000001;48.1845232;16.3804917
59;60201205;Schüttaustraße;Wien;49000001;48.2309078;16.417152
60;60201205;Schüttaustraße;Wien;49000001;48.230854;16.4170711
61;;Gänsehäufel;;;;
62;60201204;Schüttauplatz;Wien;49000001;48.2265334;16.4230539
63;60201209;Schödlbergergasse;Wien;49000001;48.228197;16.4208351
64;60200411;Goethehof;Wien;49000001;48.2295494;16.4191103
65;60200641;Kaisermühlen VIC U;Wien;49000001;48.232709;16.4157596
66;;Kaisermühlen VIC U;;;;
67;60201634;Seidelbastgasse;Wien;49000001;48.2142937;16.4712396
68;60201633;Stavangergasse;Wien;49000001;48.2130366;16.4759916
69;60201507;Haßlwanderweg;Wien;49000001;48.2125937;16.478992
70;;Neue Donau Mitte;;;;
71;60201016;Alfred-Adler-Straße;Wien;49000001;48.182906;16.380869
72;60200641;Kaisermühlen, VIC U;Wien;49000001;48.2328406;16.415535
73;60200411;Goethehof;Wien;49000001;48.2294178;16.4190025
74;60201209;Schödlbergergasse;Wien;49000001;48.2281551;16.4207273
75;;Schüttauplatz;;;;
76;60200883;Mauthausgasse;Wien;49000001;48.187931;16.345691
77;60202951;Haus des Meeres;Wien;49000001;48.1979496;16.3548269
78;;Siebenhirten;;;;
79;60201182;Schottenring U;Wien;49000001;48.2163827;16.3716793
81;60201193;Schwarzenbergplatz;Wien;49000001;48.2010931;16.3747425
88;60200116;Beethovengang;Wien;49000001;48.2597722;16.362777
89;60200457;Habsburgergasse;Wien;49000001;48.2075172;16.3680052
90;60200116;Beethovengang;Wien;49000001;48.259521;16.3627051
91;60200948;Nußdorf S;Wien;49000001;48.2601311;16.3668374
92;60201231;Sickenberggasse;Wien;49000001;48.2581455;16.3670799
93;60200428;Grinzinger Straße;Wien;49000001;48.2544732;16.3651845
94;60200468;Halteraugasse;Wien;49000001;48.2521943;16.3639538
95;60200301;Heiligenstadt, 12.-Februar-Platz;Wien;49000001;48.2491556;16.362768
96;60200439;Gunoldstraße;Wien;49000001;48.2448904;16.3616541
97;60201068;Rampengasse;Wien;49000001;48.2412351;16.3606929
98;60201062;Spittelau S U;Wien;49000001;48.2359939;16.3567672
99;60200786;Liechtenwerder Platz;Wien;49000001;48.2325773;16.3565067
100;60200099;Augasse;Wien;49000001;48.2299923;16.3573242
101;60200345;Franz-Josefs-Bahnhof S;Wien;49000001;48.2257434;16.36116
102;60200112;Bauernfeldplatz;Wien;49000001;48.2210992;16.3607019
103;60201169;Schlickgasse;Wien;49000001;48.2186931;16.3642772
104;60200099;Augasse  (Schleife);Wien;49000001;48.2298546;16.3569918
105;60201193;Schwarzenbergplatz;Wien;49000001;48.2006261;16.3746707
106;60200446;Gußhausstraße;Wien;49000001;48.1971412;16.3754791
107;60201025;Plößlgasse;Wien;49000001;48.1947161;16.3769344
108;60201173;Schloss Belvedere;Wien;49000001;48.1920992;16.3789556
109;60201346;Quartier Belvedere S;Wien;49000001;48.1876435;16.3813901
111;60201346;Quartier Belvedere S;Wien;49000001;48.1877034;16.3815158
112;60201173;Schloss Belvedere;Wien;49000001;48.1917219;16.3793329
113;60201025;Plößlgasse;Wien;49000001;48.1943568;16.3773476
114;60200446;Gußhausstraße;Wien;49000001;48.1981711;16.3751198
115;60200371;Seegasse;Wien;49000001;48.2228588;16.3614295
116;60201169;Schlickgasse;Wien;49000001;48.218747;16.3643939
117;60200112;Bauernfeldplatz;Wien;49000001;48.2206802;16.3608905
118;60200345;Franz-Josefs-Bahnhof S;Wien;49000001;48.2257913;16.3611331
119;60200099;Augasse;Wien;49000001;48.2299623;16.357441
120;60200786;Liechtenwerder Platz;Wien;49000001;48.2325175;16.3566684
121;60201062;Spittelau S U;Wien;49000001;48.235982;16.356893
122;60201068;Rampengasse;Wien;49000001;48.2406847;16.3604413
123;60200439;Gunoldstraße;Wien;49000001;48.2444417;16.3617529
124;60200301;Heiligenstadt, 12.-Februar-Platz;Wien;49000001;48.2487309;16.3626961
125;60200468;Halteraugasse;Wien;49000001;48.2516679;16.3638639
126;60200428;Grinzinger Straße;Wien;49000001;48.2544791;16.3653282
127;60201231;Sickenberggasse;Wien;49000001;48.2578644;16.367008
128;60200948;Nußdorf S;Wien;49000001;48.25985;16.3673763
130;60200371;Seegasse;Wien;49000001;48.2230982;16.3613666
131;60200467;Eckpergasse;Wien;49000001;48.2333731;16.3165946
132;60200527;Hintere Zollamtsstraße;Wien;49000001;48.211151;16.3865374
133;60200419;Gredlerstraße;Wien;49000001;48.2138866;16.3795126
134;60201198;Schwedenplatz U;Wien;49000001;48.2117975;16.3777339
135;60200034;Althanstraße;Wien;49000001;48.2287416;16.3597496
136;60200034;Althanstraße;Wien;49000001;48.228957;16.3592286
137;60200520;Hietzing U;Wien;49000001;48.1884041;16.3039732
138;60201561;Cumberlandstraße;Wien;49000001;48.1918357;16.3019161
139;60200055;Ameisgasse;Wien;49000001;48.1943927;16.2996703
